X,Y,Z,Distance
-0.735,-0.080,0.985,0.547
-0.736,-0.079,0.988,0.539
-0.737,-0.077,0.988,0.544
-0.737,-0.075,0.989,0.546
-0.734,-0.076,0.990,0.538
-0.736,-0.075,0.991,0.539
-0.736,-0.073,0.993,0.544
-0.735,-0.076,0.993,0.537
-0.738,-0.077,0.996,0.538
-0.736,-0.075,0.999,0.541
-0.741,-0.079,1.000,0.539
-0.742,-0.080,1.004,0.533
-0.742,-0.079,1.009,0.536
-0.747,-0.084,1.011,0.536
-0.745,-0.083,1.012,0.529
-0.748,-0.088,1.019,0.534
-0.752,-0.091,1.025,0.533
-0.754,-0.091,1.029,0.530
-0.756,-0.093,1.034,0.529
-0.759,-0.097,1.041,0.524
-0.763,-0.099,1.049,0.517
-0.767,-0.100,1.057,0.517
-0.770,-0.102,1.060,0.514
-0.772,-0.103,1.065,0.508
-0.780,-0.107,1.077,0.514
-0.782,-0.110,1.082,0.502
-0.787,-0.113,1.091,0.507
-0.791,-0.115,1.098,0.499
-0.795,-0.116,1.106,0.496
-0.801,-0.119,1.115,0.495
-0.807,-0.124,1.124,0.496
-0.808,-0.126,1.129,0.491
-0.817,-0.129,1.141,0.490
-0.821,-0.132,1.149,0.485
-0.827,-0.145,1.171,0.480
-0.835,-0.146,1.182,0.475
-0.840,-0.149,1.191,0.481
-0.843,-0.155,1.202,0.473
-0.853,-0.163,1.219,0.474
-0.851,-0.163,1.225,0.470
-0.861,-0.171,1.240,0.474
-0.865,-0.176,1.253,0.467
-0.873,-0.182,1.263,0.465
-0.883,-0.193,1.280,0.463
-0.888,-0.195,1.294,0.459
-0.895,-0.204,1.310,0.452
-0.901,-0.212,1.327,0.444
-0.908,-0.214,1.344,0.445
-0.918,-0.222,1.361,0.438
-0.922,-0.229,1.381,0.429
-0.933,-0.233,1.396,0.421
-0.943,-0.238,1.411,0.416
-0.950,-0.244,1.428,0.407
-0.957,-0.251,1.445,0.404
-0.962,-0.257,1.459,0.395
-0.971,-0.262,1.476,0.392
-0.978,-0.271,1.494,0.385
-0.981,-0.277,1.508,0.377
-0.994,-0.287,1.526,0.373
-1.002,-0.292,1.541,0.369
-1.002,-0.299,1.555,0.363
-1.014,-0.312,1.586,0.348
-1.018,-0.318,1.600,0.346
-1.024,-0.326,1.614,0.344
-1.033,-0.332,1.629,0.336
-1.038,-0.335,1.641,0.332
-1.041,-0.340,1.652,0.327
-1.052,-0.346,1.668,0.327
-1.054,-0.351,1.676,0.320
-1.059,-0.351,1.688,0.321
-1.062,-0.354,1.698,0.314
-1.071,-0.360,1.708,0.308
-1.078,-0.361,1.718,0.305
-1.078,-0.364,1.731,0.305
-1.084,-0.366,1.740,0.296
-1.090,-0.373,1.751,0.294
-1.094,-0.377,1.765,0.295
-1.100,-0.381,1.773,0.284
-1.107,-0.387,1.783,0.287
-1.108,-0.388,1.790,0.275
-1.114,-0.391,1.800,0.272
-1.119,-0.394,1.808,0.269
-1.163,-0.435,1.909,0.242
-1.166,-0.440,1.909,0.248
-1.162,-0.443,1.909,0.250
-1.162,-0.445,1.909,0.252
-1.163,-0.448,1.908,0.251
-1.159,-0.449,1.905,0.255
-1.155,-0.451,1.902,0.260
-1.155,-0.451,1.895,0.255
-1.151,-0.447,1.886,0.268
-1.147,-0.448,1.879,0.269
-1.141,-0.445,1.868,0.269
-1.137,-0.445,1.860,0.275
-1.133,-0.443,1.854,0.282
-1.133,-0.443,1.841,0.289
-1.125,-0.431,1.826,0.292
-1.117,-0.422,1.801,0.306
-1.116,-0.418,1.787,0.316
-1.106,-0.409,1.779,0.302
-1.096,-0.399,1.748,0.322
-1.093,-0.393,1.731,0.334
-1.084,-0.383,1.721,0.317
-1.075,-0.371,1.690,0.345
-1.062,-0.361,1.668,0.340
-1.060,-0.353,1.664,0.338
-1.055,-0.346,1.632,0.366
-1.047,-0.335,1.611,0.366
-1.037,-0.321,1.586,0.367
-1.029,-0.311,1.566,0.376
-1.020,-0.309,1.550,0.383
-1.010,-0.301,1.532,0.389
-1.003,-0.294,1.514,0.392
-0.995,-0.287,1.495,0.401
-0.985,-0.280,1.477,0.406
-0.979,-0.278,1.462,0.412
-0.971,-0.272,1.445,0.422
-0.962,-0.264,1.426,0.426
-0.924,-0.245,1.359,0.438
-0.918,-0.238,1.343,0.447
-0.909,-0.231,1.327,0.447
-0.899,-0.225,1.308,0.458
-0.892,-0.217,1.289,0.467
-0.882,-0.210,1.275,0.465
-0.874,-0.201,1.253,0.470
-0.868,-0.194,1.235,0.477
-0.863,-0.192,1.222,0.484
-0.859,-0.187,1.206,0.501
-0.735,-0.071,0.951,0.561
-0.728,-0.070,0.941,0.567
-0.722,-0.068,0.933,0.569
-0.715,-0.066,0.922,0.568
-0.708,-0.062,0.914,0.578
-0.704,-0.060,0.908,0.577
-0.700,-0.057,0.897,0.579
-0.692,-0.052,0.890,0.578
-0.689,-0.051,0.886,0.580
-0.683,-0.047,0.875,0.574
-0.681,-0.042,0.866,0.581
-0.674,-0.036,0.859,0.580
-0.673,-0.035,0.850,0.582
-0.667,-0.033,0.847,0.585
