X,Y,Z,Distance
-0.473,-0.578,0.231,0.443
-0.471,-0.579,0.233,0.445
-0.470,-0.583,0.231,0.446
-0.469,-0.581,0.227,0.445
-0.469,-0.581,0.230,0.446
-0.468,-0.581,0.226,0.446
-0.466,-0.580,0.225,0.446
-0.465,-0.581,0.227,0.443
-0.466,-0.580,0.225,0.445
-0.464,-0.577,0.222,0.446
-0.463,-0.578,0.221,0.441
-0.460,-0.580,0.221,0.446
-0.461,-0.578,0.222,0.446
-0.459,-0.578,0.222,0.440
-0.459,-0.576,0.220,0.442
-0.460,-0.575,0.218,0.439
-0.460,-0.573,0.219,0.438
-0.457,-0.576,0.220,0.437
-0.457,-0.572,0.215,0.441
-0.454,-0.575,0.216,0.440
-0.453,-0.576,0.217,0.439
-0.454,-0.578,0.217,0.440
-0.453,-0.575,0.218,0.437
-0.450,-0.578,0.216,0.435
-0.449,-0.576,0.213,0.440
-0.449,-0.574,0.215,0.437
-0.449,-0.573,0.213,0.431
-0.450,-0.569,0.209,0.438
-0.448,-0.570,0.210,0.434
-0.448,-0.572,0.210,0.433
-0.445,-0.571,0.208,0.437
-0.447,-0.571,0.209,0.435
-0.445,-0.570,0.205,0.437
-0.443,-0.570,0.206,0.436
-0.444,-0.573,0.208,0.433
-0.442,-0.570,0.208,0.436
-0.439,-0.573,0.206,0.440
-0.438,-0.573,0.207,0.438
-0.439,-0.573,0.205,0.435
-0.438,-0.574,0.206,0.436
-0.438,-0.572,0.205,0.437
-0.436,-0.570,0.205,0.435
-0.435,-0.571,0.205,0.437
-0.436,-0.574,0.206,0.430
-0.434,-0.573,0.206,0.432
-0.435,-0.568,0.201,0.433
-0.437,-0.566,0.200,0.431
-0.435,-0.566,0.200,0.428
-0.435,-0.563,0.198,0.426
-0.437,-0.563,0.197,0.426
-0.436,-0.562,0.197,0.426
-0.433,-0.560,0.194,0.424
-0.436,-0.561,0.196,0.424
-0.434,-0.559,0.197,0.427
-0.432,-0.561,0.194,0.425
-0.432,-0.563,0.194,0.423
-0.429,-0.563,0.196,0.427
-0.428,-0.566,0.196,0.428
-0.425,-0.567,0.198,0.427
-0.425,-0.570,0.199,0.424
-0.424,-0.570,0.198,0.428
-0.425,-0.567,0.196,0.428
-0.424,-0.568,0.197,0.421
-0.421,-0.567,0.196,0.425
-0.424,-0.563,0.192,0.424
-0.425,-0.562,0.190,0.421
-0.422,-0.561,0.191,0.423
-0.425,-0.561,0.191,0.422
-0.423,-0.563,0.192,0.422
-0.423,-0.565,0.193,0.422
-0.426,-0.563,0.193,0.421
-0.424,-0.560,0.192,0.420
-0.423,-0.562,0.193,0.421
-0.427,-0.559,0.191,0.420
-0.427,-0.560,0.193,0.419
-0.426,-0.561,0.195,0.422
-0.426,-0.561,0.193,0.422
-0.427,-0.560,0.194,0.420
-0.427,-0.561,0.194,0.421
-0.428,-0.559,0.193,0.422
-0.427,-0.558,0.193,0.420
-0.425,-0.560,0.195,0.418
-0.424,-0.556,0.191,0.423
-0.421,-0.555,0.193,0.426
-0.420,-0.554,0.189,0.429
-0.420,-0.551,0.186,0.434
